elapsed_sec,frame_ms,draw_calls
10.859,10.729,127
10.866,6.949,124
10.878,11.956,124
10.891,12.429,123
10.900,9.446,123
10.909,9.013,122
10.919,9.838,125
10.926,6.781,127
10.936,10.578,128
10.946,9.044,127
10.956,10.913,132
10.968,11.774,135
10.978,9.828,133
10.989,10.830,132
10.998,9.070,133
11.007,8.663,132
11.014,7.679,132
11.022,7.303,132
11.029,7.183,130
11.037,8.360,132
11.046,8.969,130
11.059,12.864,130
11.068,9.416,131
11.076,7.382,132
11.086,9.959,133
11.094,8.267,135
11.103,9.141,135
11.116,12.745,131
11.127,10.773,132
11.137,10.148,135
11.149,11.736,134
11.157,8.827,130
11.167,10.064,126
11.176,8.547,124
11.185,9.334,124
11.194,8.457,120
11.206,12.395,120
11.217,10.437,119
11.227,10.358,119
11.235,8.503,120
11.245,9.463,118
11.255,10.285,116
11.264,9.049,117
11.273,8.498,116
11.283,10.491,112
11.294,10.590,110
11.305,11.546,112
11.313,7.490,112
11.322,9.585,110
11.333,10.163,110
11.342,8.971,110
11.351,9.730,110
11.363,11.608,112
11.370,7.262,116
11.379,8.681,115
11.391,12.598,115
11.400,8.955,117
11.410,9.153,119
11.418,7.987,120
11.427,9.549,124
11.436,8.980,125
11.448,11.767,126
11.457,9.652,121
11.468,10.594,121
11.478,10.019,125
11.488,9.551,126
11.497,8.905,126
11.505,8.259,123
11.514,8.836,120
11.526,12.550,119
11.537,10.303,118
11.550,13.741,118
11.560,9.459,114
11.568,8.580,114
11.579,11.209,113
11.590,10.196,113
11.600,9.885,112
11.609,8.925,112
11.620,11.515,111
11.629,8.541,107
11.635,6.270,106
11.642,7.536,106
11.653,10.783,108
11.663,9.792,107
11.670,7.319,103
11.678,8.130,101
11.688,9.221,100
11.696,8.427,99
11.705,8.922,99
11.717,11.914,95
11.727,10.269,94
11.738,10.680,98
11.746,8.333,100
11.755,9.313,103
11.765,9.430,105
11.773,8.182,109
11.783,9.423,112
11.790,7.962,114
11.799,8.926,112
11.811,11.215,112
11.823,12.576,115
11.835,12.301,117
11.846,10.212,115
11.853,6.977,110
11.863,10.577,109
11.873,9.959,110
11.880,6.524,107
11.888,8.523,110
11.897,9.018,108
11.908,10.544,109
11.920,12.442,109
11.929,8.663,107
11.940,10.667,105
11.947,7.331,106
11.957,10.179,106
11.968,10.529,105
11.975,7.404,101
11.986,10.700,99
11.998,11.830,102
12.006,7.944,102
12.017,11.841,100
12.026,8.666,97
12.037,10.508,95
12.049,12.150,95
12.059,10.445,93
12.070,10.763,88
12.078,8.162,88
12.088,9.720,88
12.100,11.959,88
12.113,13.333,86
12.123,9.462,87
12.131,8.924,90
12.138,6.672,93
12.150,12.096,91
12.162,11.382,95
12.169,7.133,100
12.178,9.574,103
12.187,8.302,104
12.196,9.293,102
12.206,9.696,100
12.215,9.465,100
12.224,9.090,97
12.235,11.019,100
12.242,6.938,98
12.254,11.777,99
12.264,9.972,99
12.277,13.467,101
12.287,10.055,100
12.300,12.396,102
12.309,8.847,102
12.319,10.578,98
12.326,7.118,96
12.336,9.952,97
12.348,12.044,99
12.355,6.941,97
12.365,10.076,96
12.377,12.040,91
12.385,7.981,89
12.396,10.459,89
12.404,7.870,88
12.414,10.508,84
12.425,10.469,85
12.437,12.621,84
12.446,9.165,84
12.454,7.560,81
12.464,10.337,81
12.475,10.937,83
12.487,12.078,82
12.496,8.673,78
12.505,8.728,79
12.512,7.734,83
12.523,10.900,87
